step,total,ranking,flops_q,flops_d,lambda
100,208.91029357910156,208.90992736816406,40.49507141113281,80.26461029052734,2.9999999999999997e-06
200,161.9567413330078,161.95591735839844,51.913230895996094,86.47567749023438,5.999999999999999e-06
300,108.57840728759766,108.57709503173828,60.045997619628906,85.77395629882812,8.999999999999999e-06
400,108.83592224121094,108.834228515625,58.33326721191406,82.7891845703125,1.1999999999999999e-05
500,86.84623718261719,86.84396362304688,64.13724517822266,87.34282684326172,1.4999999999999999e-05
600,114.84739685058594,114.84513092041016,52.833953857421875,73.06566619873047,1.7999999999999997e-05
700,114.43171691894531,114.42920684814453,47.56958770751953,71.78538513183594,2.1e-05
800,85.18462371826172,85.18126678466797,59.02688980102539,80.67139434814453,2.3999999999999997e-05
900,97.7522964477539,97.74781799316406,71.52952575683594,94.35298156738281,2.6999999999999996e-05
1000,69.95476531982422,69.95032501220703,62.23735046386719,85.66552734375,2.9999999999999997e-05
1100,85.84393310546875,85.83808898925781,77.94898986816406,99.23199462890625,3.2999999999999996e-05
1200,77.92488861083984,77.9176254272461,87.83644104003906,113.92452239990234,3.5999999999999994e-05
1300,96.99070739746094,96.98387145996094,76.23611450195312,98.91188049316406,3.9e-05
1400,124.27056884765625,124.26345825195312,77.0130386352539,92.30011749267578,4.2e-05
1500,62.56900405883789,62.56182861328125,71.23878479003906,88.25084686279297,4.4999999999999996e-05
1600,145.44065856933594,145.43345642089844,65.2620849609375,84.83827209472656,4.7999999999999994e-05
1700,66.17098999023438,66.16464233398438,55.98383331298828,68.57967376708984,5.1e-05
1800,87.934326171875,87.9263916015625,62.22873306274414,84.80595397949219,5.399999999999999e-05
1900,112.5446548461914,112.53701782226562,54.92893600463867,79.05470275878906,5.6999999999999996e-05
2000,60.14143753051758,60.13313674926758,57.56318283081055,80.82096862792969,5.9999999999999995e-05
2100,77.8777084350586,77.86897277832031,60.45618438720703,78.20669555664062,6.299999999999999e-05
2200,97.29961395263672,97.29057312011719,59.4009895324707,77.54883575439453,6.599999999999999e-05
2300,106.73727416992188,106.72702026367188,65.23675537109375,83.41743469238281,6.9e-05
2400,94.56698608398438,94.55538940429688,69.47017669677734,91.58512115478516,7.199999999999999e-05
2500,102.21208190917969,102.1993408203125,75.00070190429688,94.86090087890625,7.5e-05
2600,74.61750030517578,74.6053466796875,65.89212036132812,89.8460464477539,7.8e-05
2700,88.75382995605469,88.74360656738281,54.87999725341797,71.28739929199219,8.1e-05
2800,92.24581909179688,92.23637390136719,46.11180877685547,66.26506805419922,8.4e-05
2900,86.63951110839844,86.6295166015625,46.78772735595703,68.05850982666016,8.699999999999999e-05
3000,80.5411376953125,80.53195190429688,44.245704650878906,57.806854248046875,8.999999999999999e-05
3100,71.14073944091797,71.12940979003906,53.28843688964844,68.5230712890625,9.3e-05
3200,56.3648796081543,56.356056213378906,38.157798767089844,53.77680969238281,9.599999999999999e-05
3300,113.47806549072266,113.46733093261719,46.48009490966797,61.98399353027344,9.9e-05
3400,53.89894104003906,53.88632583618164,54.955604553222656,68.74473571777344,0.000102
3500,63.646793365478516,63.63392639160156,53.124019622802734,69.43994903564453,0.00010499999999999999
3600,70.56623077392578,70.55169677734375,60.34511184692383,74.26106262207031,0.00010799999999999998
3700,83.44430541992188,83.42938232421875,61.97747039794922,72.44895935058594,0.00011099999999999999
3800,71.0324478149414,71.01718139648438,59.30634689331055,74.62014770507812,0.00011399999999999999
3900,59.88096618652344,59.86544418334961,58.356990814208984,74.31934356689453,0.000117
4000,66.24996948242188,66.2340316772461,58.777099609375,74.03845977783203,0.00011999999999999999
4100,57.631446838378906,57.61448287963867,60.678565979003906,77.21485137939453,0.00012299999999999998
4200,78.49129486083984,78.4728775024414,64.01338195800781,82.1445083618164,0.00012599999999999997
4300,87.161865234375,87.14344024658203,58.59600830078125,84.19487762451172,0.000129
4400,65.71958923339844,65.70527648925781,47.68422317504883,60.730716705322266,0.00013199999999999998
4500,89.14822387695312,89.13435363769531,44.082481384277344,58.67070770263672,0.000135
4600,65.84111785888672,65.82559204101562,49.801292419433594,62.675941467285156,0.000138
4700,40.16872787475586,40.15165710449219,52.77131652832031,68.29054260253906,0.00014099999999999998
4800,90.84559631347656,90.82935333251953,50.10264587402344,62.68391036987305,0.00014399999999999998
4900,46.77008819580078,46.75415802001953,48.88105010986328,59.48143768310547,0.000147
5000,99.29804992675781,99.2825698852539,44.13385009765625,59.070640563964844,0.00015
5100,88.0003662109375,87.98295593261719,49.70378875732422,64.05208587646484,0.00015299999999999998
5200,71.37926483154297,71.3623046875,47.68874740600586,61.036190032958984,0.000156
5300,57.336971282958984,57.319786071777344,47.9413948059082,60.15433883666992,0.000159
5400,67.37859344482422,67.3612060546875,46.201210021972656,61.14335632324219,0.000162
5500,72.14263916015625,72.12277221679688,52.032684326171875,68.38700866699219,0.000165
5600,67.33998107910156,67.32208251953125,47.199913024902344,59.36240005493164,0.000168
5700,62.882965087890625,62.86290740966797,50.50123596191406,66.78665161132812,0.00017099999999999998
5800,52.84569549560547,52.82710266113281,45.373172760009766,61.47386169433594,0.00017399999999999997
5900,84.86907196044922,84.84867858886719,49.599647521972656,65.58607482910156,0.00017699999999999997
6000,81.19573211669922,81.17792510986328,41.723297119140625,57.23582458496094,0.00017999999999999998
6100,44.91385269165039,44.89727020263672,37.73140335083008,52.88169479370117,0.00018299999999999998
6200,71.50508117675781,71.48857116699219,37.69749450683594,51.05621337890625,0.000186
6300,73.22749328613281,73.20901489257812,42.51944351196289,55.25071334838867,0.00018899999999999999
6400,55.165794372558594,55.14640808105469,43.23878479003906,57.73305892944336,0.00019199999999999998
6500,81.06353759765625,81.04461669921875,41.04856872558594,55.98817443847656,0.000195
6600,77.42718505859375,77.40662384033203,44.36151123046875,59.489967346191406,0.000198
6700,64.84199523925781,64.82229614257812,42.911495208740234,55.0681037902832,0.000201
6800,63.16246795654297,63.14415740966797,38.439697265625,51.31822204589844,0.000204
6900,71.78502655029297,71.76348876953125,44.505680084228516,59.511680603027344,0.00020699999999999996
7000,101.05723571777344,101.030517578125,54.152320861816406,73.069580078125,0.00020999999999999998
7100,60.34650421142578,60.32051467895508,52.138893127441406,69.88035583496094,0.00021299999999999997
7200,66.97193908691406,66.94845581054688,46.802391052246094,61.92460632324219,0.00021599999999999996
7300,57.91429138183594,57.89088439941406,45.639549255371094,61.24581527709961,0.00021899999999999998
7400,71.11334228515625,71.08798217773438,49.15707778930664,65.10595703125,0.00022199999999999998
7500,67.20441436767578,67.17913818359375,47.26759338378906,65.07853698730469,0.000225
7600,104.20039367675781,104.17436218261719,48.77159118652344,65.39374542236328,0.00022799999999999999
7700,75.40971374511719,75.38539123535156,46.639427185058594,58.65972137451172,0.00023099999999999998
7800,76.05260467529297,76.02241516113281,53.15139389038086,75.87242889404297,0.000234
7900,55.09810256958008,55.06592559814453,58.891334533691406,76.87935638427734,0.000237
8000,61.938514709472656,61.907711029052734,54.13737487792969,74.20622253417969,0.00023999999999999998
8100,101.44243621826172,101.41281127929688,50.389427185058594,71.52796936035156,0.000243
8200,72.06771850585938,72.03880310058594,48.31922912597656,69.23779296875,0.00024599999999999996
