step,total,ranking,flops_q,flops_d,lambda
100,80.84818267822266,80.83567810058594,54.84086227416992,70.17031860351562,0.0001
200,44.02368927001953,44.001914978027344,45.708282470703125,63.163490295410156,0.0002
300,44.10063552856445,44.07075500488281,41.519020080566406,58.07948303222656,0.0003
400,35.124176025390625,35.08370590209961,41.90077590942383,59.27125549316406,0.0004
500,62.24943161010742,62.20497131347656,35.35609817504883,53.563316345214844,0.0005
600,49.52227783203125,49.464996337890625,37.67533493041992,57.794898986816406,0.0006
700,29.312835693359375,29.250144958496094,36.082763671875,53.476497650146484,0.0007000000000000001
800,34.08536911010742,34.011348724365234,37.51220703125,55.01097106933594,0.0008
900,33.94146728515625,33.85662078857422,37.68314743041992,56.58915710449219,0.0009
1000,24.61005973815918,24.519376754760742,35.95329284667969,54.728721618652344,0.001
1100,32.9874267578125,32.88335037231445,37.35059356689453,57.26396942138672,0.0011
1200,46.82722091674805,46.72175216674805,35.12677001953125,52.764305114746094,0.0012
1300,29.080291748046875,28.960887908935547,36.26262664794922,55.58579635620117,0.0013000000000000002
1400,28.557252883911133,28.41976547241211,36.686275482177734,61.51921081542969,0.0014000000000000002
1500,19.057941436767578,18.925708770751953,36.085018157958984,52.07122039794922,0.0015
1600,28.790483474731445,28.640907287597656,38.1129150390625,55.37248992919922,0.0016
1700,23.924142837524414,23.777488708496094,34.18952178955078,52.07701110839844,0.0017000000000000001
1800,19.070770263671875,18.91167640686035,32.90453338623047,55.4802360534668,0.0018
1900,18.448408126831055,18.27666664123535,34.571311950683594,55.81943893432617,0.0019
2000,25.888900756835938,25.729907989501953,32.01390838623047,47.48260498046875,0.002
2100,28.455078125,28.298080444335938,29.7017822265625,45.05875015258789,0.0021
2200,16.59388542175293,16.411300659179688,32.430091857910156,50.56325912475586,0.0022
2300,25.72327995300293,25.546695709228516,29.784503936767578,46.99110794067383,0.0023
2400,19.159574508666992,18.963010787963867,31.63983917236328,50.26170349121094,0.0024
2500,20.515695571899414,20.32815933227539,29.227218627929688,45.78721237182617,0.0025
2600,15.672711372375488,15.461775779724121,31.018503189086914,50.11038589477539,0.0026000000000000003
2700,30.701438903808594,30.499258041381836,30.069738388061523,44.811912536621094,0.0027
2800,24.55848503112793,24.33121109008789,30.258852005004883,50.91035842895508,0.0028000000000000004
2900,17.0921573638916,16.865554809570312,30.095958709716797,48.04263687133789,0.0029
3000,23.783344268798828,23.549091339111328,30.315502166748047,47.769065856933594,0.003
3100,13.134462356567383,12.895034790039062,30.873075485229492,46.3615608215332,0.0031
3200,30.223283767700195,29.97286033630371,30.1683406829834,48.08876037597656,0.0032
3300,32.52718734741211,32.27782440185547,29.09923553466797,46.46500015258789,0.0033000000000000004
3400,19.517065048217773,19.265640258789062,28.220483779907227,45.728248596191406,0.0034000000000000002
3500,22.29206085205078,22.021394729614258,29.549861907958984,47.78366470336914,0.0034999999999999996
3600,27.695098876953125,27.427135467529297,28.94704818725586,45.487281799316406,0.0036
3700,24.749425888061523,24.46745491027832,28.573345184326172,47.63539123535156,0.0037
3800,21.85590171813965,21.573211669921875,27.478971481323242,46.913021087646484,0.0038
3900,19.222816467285156,18.91971206665039,28.91800308227539,48.801177978515625,0.0039000000000000003
4000,20.936721801757812,20.65437889099121,27.623491287231445,42.9619026184082,0.004
4100,22.442340850830078,22.113536834716797,29.92535400390625,50.270782470703125,0.0040999999999999995
4200,30.562870025634766,30.245399475097656,28.49091148376465,47.09746170043945,0.0042
4300,13.990857124328613,13.69452953338623,25.76447105407715,43.148902893066406,0.0043
4400,22.07323455810547,21.73137855529785,28.688634872436523,49.00602722167969,0.0044
4500,17.96820831298828,17.66802215576172,24.29955291748047,42.40851593017578,0.0045000000000000005
4600,14.542013168334961,14.208813667297363,27.91861343383789,44.51606750488281,0.0046
4700,23.138046264648438,22.797740936279297,25.699501037597656,46.70574951171875,0.0047
4800,28.14756965637207,27.779632568359375,28.87604331970215,47.777305603027344,0.0048
4900,16.94718360900879,16.60761070251465,26.34884262084961,42.951805114746094,0.0049
5000,14.845730781555176,14.459994316101074,28.748180389404297,48.39907455444336,0.005
5100,22.410240173339844,22.025634765625,27.936559677124023,47.47626495361328,0.0051
5200,22.402427673339844,22.041921615600586,25.270715713500977,44.05760192871094,0.005200000000000001
5300,22.13506507873535,21.783771514892578,24.254119873046875,42.027587890625,0.0053
5400,22.488176345825195,22.123374938964844,25.092018127441406,42.46399688720703,0.0054
5500,15.244315147399902,14.883138656616211,23.619535446166992,42.04883575439453,0.0055000000000000005
5600,12.98983383178711,12.617467880249023,24.616283416748047,41.87771224975586,0.005600000000000001
5700,20.907182693481445,20.537738800048828,24.33171844482422,40.48298645019531,0.005699999999999999
