step,total,ranking,flops_q,flops_d,lambda
100,161.3597869873047,161.33596801757812,75.32028198242188,162.7589111328125,0.0001
200,56.74936294555664,56.71550750732422,54.68062973022461,114.59046936035156,0.0002
300,70.10953521728516,70.06625366210938,52.23712158203125,92.02845001220703,0.0003
400,35.6134147644043,35.56116485595703,48.82869338989258,81.79446411132812,0.0004
500,44.481849670410156,44.41735076904297,48.802268981933594,80.18975067138672,0.0005
600,32.9008903503418,32.81715393066406,50.8067626953125,88.75769805908203,0.0006
700,31.535017013549805,31.443252563476562,48.148956298828125,82.94305419921875,0.0007000000000000001
800,25.491920471191406,25.37662696838379,48.90119934082031,95.21585845947266,0.0008
900,41.2420539855957,41.1131706237793,50.357765197753906,92.84599304199219,0.0009
1000,20.453950881958008,20.313846588134766,49.05235290527344,91.05062866210938,0.001
1100,15.535433769226074,15.387567520141602,49.58262252807617,84.84140014648438,0.0011
1200,18.982595443725586,18.805374145507812,50.15718078613281,97.52791595458984,0.0012
1300,30.09067153930664,29.909685134887695,49.9262809753418,89.29537200927734,0.0013000000000000002
1400,23.320432662963867,23.12010955810547,49.437469482421875,93.65097045898438,0.0014000000000000002
1500,20.109664916992188,19.876136779785156,51.87179183959961,103.81306457519531,0.0015
1600,23.447900772094727,23.224334716796875,49.25965118408203,90.46955871582031,0.0016
1700,29.32832145690918,29.06170654296875,49.131187438964844,107.70121002197266,0.0017000000000000001
1800,24.874719619750977,24.617351531982422,47.66309356689453,95.31863403320312,0.0018
1900,20.269302368164062,20.023197174072266,46.03977966308594,83.4896240234375,0.0019
2000,22.31812858581543,22.06360626220703,45.067630767822266,82.19363403320312,0.002
2100,14.802567481994629,14.537221908569336,44.9622802734375,81.39309692382812,0.0021
2200,19.560083389282227,19.30112075805664,44.50453567504883,73.20558166503906,0.0022
2300,22.616212844848633,22.289012908935547,45.31485366821289,96.94630432128906,0.0023
2400,14.627463340759277,14.292832374572754,44.101951599121094,95.32784271240234,0.0024
2500,68.88307189941406,68.53589630126953,43.01956558227539,95.84888458251953,0.0025
2600,16.53704261779785,16.17279052734375,44.941810607910156,95.15544891357422,0.0026000000000000003
2700,18.885604858398438,18.498178482055664,43.905235290527344,99.58647155761719,0.0027
2800,16.902755737304688,16.5721435546875,42.93157958984375,75.14398956298828,0.0028000000000000004
2900,13.230254173278809,12.871543884277344,42.66191864013672,81.03131866455078,0.0029
3000,16.38700294494629,15.997872352600098,40.86402130126953,88.84609985351562,0.003
3100,16.678823471069336,16.279062271118164,38.29824447631836,90.6568832397461,0.0031
3200,18.702865600585938,18.337507247924805,37.33388137817383,76.84040832519531,0.0032
3300,15.17297649383545,14.789352416992188,33.95671081542969,82.2930908203125,0.0033000000000000004
3400,8.523759841918945,8.163625717163086,32.85723876953125,73.06475830078125,0.0034000000000000002
3500,12.784307479858398,12.418621063232422,31.07024383544922,73.41159057617188,0.0034999999999999996
3600,14.942248344421387,14.539335250854492,30.7923583984375,81.12809753417969,0.0036
3700,16.63214683532715,16.159931182861328,30.400455474853516,97.22515106201172,0.0037
3800,10.688953399658203,10.31356430053711,31.021047592163086,67.76561737060547,0.0038
3900,14.398199081420898,13.998866081237793,29.178455352783203,73.2146224975586,0.0039000000000000003
4000,13.619231224060059,13.23458194732666,28.79779624938965,67.36448669433594,0.004
4100,11.935674667358398,11.476133346557617,26.438339233398438,85.64476776123047,0.0040999999999999995
4200,20.946002960205078,20.49520492553711,25.853519439697266,81.47908782958984,0.0042
4300,7.035182476043701,6.673475742340088,24.696704864501953,59.42115020751953,0.0043
4400,17.64519500732422,17.261552810668945,24.910114288330078,62.28153991699219,0.0044
4500,11.464681625366211,11.044157981872559,25.946563720703125,67.50321960449219,0.0045000000000000005
4600,7.695916175842285,7.271002769470215,24.7261905670166,67.64633178710938,0.0046
4700,17.341136932373047,16.992494583129883,22.413076400756836,51.76643371582031,0.0047
4800,13.346081733703613,12.907960891723633,22.00298309326172,69.27214813232422,0.0048
4900,14.85639762878418,14.405914306640625,24.362796783447266,67.57251739501953,0.0049
5000,15.176841735839844,14.795863151550293,21.64920425415039,54.54661178588867,0.005
5100,10.326335906982422,9.934885025024414,20.276552200317383,56.47844696044922,0.0051
5200,9.804469108581543,9.420832633972168,19.838180541992188,53.93793487548828,0.005200000000000001
5300,10.586553573608398,10.217779159545898,20.881179809570312,48.698944091796875,0.0053
5400,17.495283126831055,17.12458610534668,19.18536949157715,49.46204376220703,0.0054
5500,12.218511581420898,11.749385833740234,18.436458587646484,66.85907745361328,0.0055000000000000005
5600,11.674250602722168,11.18820858001709,18.587919235229492,68.20525360107422,0.005600000000000001
5700,16.805374145507812,16.420856475830078,18.243988037109375,49.21532440185547,0.005699999999999999
5800,10.917223930358887,10.495506286621094,18.41045379638672,54.29936599731445,0.0058
5900,13.42230224609375,12.969139099121094,17.33468246459961,59.472591400146484,0.0059
6000,10.747232437133789,10.294885635375977,17.369844436645508,58.02121353149414,0.006
6100,11.725202560424805,11.293638229370117,16.853111267089844,53.895057678222656,0.0061
6200,17.53809928894043,17.119159698486328,18.089061737060547,49.481773376464844,0.0062
6300,12.844138145446777,12.37429141998291,16.576969146728516,58.00183868408203,0.0063
6400,20.299041748046875,19.949443817138672,16.048025131225586,38.576629638671875,0.0064
6500,13.351058006286621,12.939535140991211,15.79153823852539,47.51967239379883,0.006500000000000001
6600,17.635923385620117,17.269237518310547,14.842836380004883,40.715606689453125,0.006600000000000001
6700,15.69214153289795,15.293479919433594,16.399179458618164,43.10249710083008,0.0067
6800,12.783371925354004,12.399398803710938,15.204811096191406,41.26182174682617,0.0068000000000000005
6900,16.91994285583496,16.528547286987305,15.042936325073242,41.680992126464844,0.0069
7000,10.815946578979492,10.401681900024414,13.12901496887207,46.051734924316406,0.006999999999999999
7100,15.981513023376465,15.63776969909668,13.282483100891113,35.13204574584961,0.0070999999999999995
7200,15.156328201293945,14.78514575958252,13.191173553466797,38.36195373535156,0.0072
7300,15.40755844116211,15.024751663208008,11.935403823852539,40.50390625,0.0073
7400,11.553524017333984,11.122787475585938,14.042728424072266,44.16495132446289,0.0074
7500,9.48592758178711,9.105735778808594,12.987915992736816,37.704280853271484,0.0075
7600,5.762276649475098,5.351360321044922,12.751008033752441,41.31695556640625,0.0076
7700,11.221677780151367,10.806694984436035,11.906112670898438,41.987823486328125,0.0077
7800,13.238899230957031,12.757200241088867,13.09507942199707,48.661285400390625,0.0078000000000000005
7900,15.063250541687012,14.703580856323242,12.276354789733887,33.251487731933594,0.0079
8000,14.138361930847168,13.709245681762695,12.297355651855469,41.34217071533203,0.008
8100,13.244357109069824,12.810687065124512,11.705270767211914,41.83427429199219,0.008100000000000001
8200,13.055291175842285,12.629375457763672,11.069536209106445,40.87141036987305,0.008199999999999999
8300,16.388408660888672,15.969655990600586,10.681434631347656,39.770790100097656,0.0083
8400,6.625056266784668,6.207911491394043,10.268091201782227,39.39204406738281,0.0084
8500,6.70749044418335,6.3981218338012695,9.136575698852539,27.259723663330078,0.0085
8600,13.01313591003418,12.70101261138916,9.167901992797852,27.125537872314453,0.0086
8700,15.857821464538574,15.468194961547852,9.516826629638672,35.267826080322266,0.0087
8800,11.446499824523926,11.108447074890137,9.6934814453125,28.721603393554688,0.0088
8900,10.220632553100586,9.832602500915527,9.366387367248535,34.23247146606445,0.0089
9000,11.789302825927734,11.4252290725708,9.485893249511719,30.966732025146484,0.009000000000000001
9100,10.12647533416748,9.755062103271484,9.260123252868652,31.554548263549805,0.0091
9200,13.584856986999512,13.171459197998047,8.052907943725586,36.881629943847656,0.0092
