step,total,ranking,flops_q,flops_d,lambda
100,164.2538604736328,164.25320434570312,70.11495971679688,148.37924194335938,2.9999999999999997e-06
200,51.33856201171875,51.3375358581543,57.08771896362305,113.54251098632812,5.999999999999999e-06
300,78.09789276123047,78.09666442871094,49.29167938232422,87.09716033935547,8.999999999999999e-06
400,23.811555862426758,23.809955596923828,48.666046142578125,84.7696304321289,1.1999999999999999e-05
500,40.375160217285156,40.37299728393555,52.800331115722656,91.3731689453125,1.4999999999999999e-05
600,26.392271041870117,26.389873504638672,46.35407638549805,86.85893249511719,1.7999999999999997e-05
700,36.076358795166016,36.07329559326172,50.78961944580078,94.95330810546875,2.1e-05
800,29.71071434020996,29.707630157470703,48.033992767333984,80.46784973144531,2.3999999999999997e-05
900,51.660797119140625,51.65674591064453,52.887603759765625,97.23191833496094,2.6999999999999996e-05
1000,26.23567008972168,26.23164939880371,47.49797058105469,86.50814819335938,2.9999999999999997e-05
1100,17.512126922607422,17.507780075073242,48.87322235107422,82.85216522216797,3.2999999999999996e-05
1200,20.823532104492188,20.818805694580078,47.07810974121094,84.18209075927734,3.5999999999999994e-05
1300,26.285490036010742,26.27954864501953,47.300048828125,105.07379150390625,3.9e-05
1400,19.287078857421875,19.280914306640625,46.98320007324219,99.77430725097656,4.2e-05
1500,19.415733337402344,19.409988403320312,45.959468841552734,81.70704650878906,4.4999999999999996e-05
1600,22.67758560180664,22.67108726501465,43.4958610534668,91.88275146484375,4.7999999999999994e-05
1700,29.351364135742188,29.34444236755371,45.67572784423828,90.05439758300781,5.1e-05
1800,29.86539077758789,29.85799789428711,43.32965850830078,93.5579833984375,5.399999999999999e-05
1900,30.455997467041016,30.447568893432617,44.93219757080078,102.93659973144531,5.6999999999999996e-05
2000,24.470678329467773,24.46246337890625,43.42591094970703,93.47746276855469,5.9999999999999995e-05
2100,17.451171875,17.441999435424805,42.331443786621094,103.26383972167969,6.299999999999999e-05
2200,17.669584274291992,17.660524368286133,44.420433044433594,92.84163665771484,6.599999999999999e-05
2300,19.762413024902344,19.750211715698242,44.98845672607422,131.84799194335938,6.9e-05
2400,10.257279396057129,10.24647331237793,44.033721923828125,106.0569076538086,7.199999999999999e-05
2500,50.2262077331543,50.21461486816406,44.664817810058594,109.89539337158203,7.5e-05
2600,12.389191627502441,12.376572608947754,46.26917266845703,115.51609802246094,7.8e-05
2700,19.74614143371582,19.73499298095703,43.38420486450195,94.25028991699219,8.1e-05
2800,20.15725326538086,20.145570755004883,43.4791374206543,95.59778594970703,8.4e-05
2900,12.181540489196777,12.168546676635742,44.00107192993164,105.349853515625,8.699999999999999e-05
3000,18.0589599609375,18.04271697998047,44.84001922607422,135.62464904785156,8.999999999999999e-05
3100,22.726587295532227,22.70846176147461,45.518714904785156,149.39373779296875,9.3e-05
3200,19.205516815185547,19.185897827148438,43.975711822509766,160.40444946289062,9.599999999999999e-05
3300,10.519916534423828,10.503583908081055,42.927284240722656,122.04859161376953,9.9e-05
3400,14.447698593139648,14.429126739501953,44.11117172241211,137.96630859375,0.000102
3500,10.821952819824219,10.801321983337402,43.9202766418457,152.55929565429688,0.00010499999999999999
3600,13.73615837097168,13.710245132446289,46.134117126464844,193.79977416992188,0.00010799999999999998
3700,16.15679359436035,16.138324737548828,43.41508483886719,122.95713806152344,0.00011099999999999999
3800,14.016365051269531,13.999995231628418,45.68278503417969,97.91361236572266,0.00011399999999999999
3900,11.406275749206543,11.384084701538086,44.671836853027344,145.00274658203125,0.000117
4000,11.882712364196777,11.856021881103516,43.49758529663086,178.9224090576172,0.00011999999999999999
4100,9.136078834533691,9.10786247253418,42.33567810058594,187.06756591796875,0.00012299999999999998
4200,14.808113098144531,14.783458709716797,43.08275604248047,152.59117126464844,0.00012599999999999997
4300,13.273015975952148,13.253727912902832,42.19047546386719,107.32774353027344,0.000129
4400,14.670342445373535,14.646814346313477,43.67543029785156,134.5716094970703,0.00013199999999999998
4500,12.96731948852539,12.94338607788086,44.22785949707031,133.052978515625,0.000135
4600,8.883232116699219,8.856277465820312,44.192779541015625,151.12847900390625,0.000138
4700,15.569130897521973,15.546905517578125,42.11229705810547,115.51526641845703,0.00014099999999999998
4800,15.845848083496094,15.81376838684082,43.722381591796875,179.05126953125,0.00014399999999999998
4900,16.62519073486328,16.598329544067383,43.49658203125,139.24240112304688,0.000147
5000,10.26309585571289,10.234336853027344,42.57916259765625,149.14822387695312,0.00015
