step,total,ranking,flops_q,flops_d,lambda,p_q,p_d
100,71.68541717529297,71.65995788574219,91.53779602050781,163.044677734375,0.0001,9.94582748413086,9.944377899169922
200,32.29214096069336,32.2541618347168,70.11341857910156,119.77776336669922,0.0002,9.906733512878418,9.910876274108887
300,34.92058563232422,34.872169494628906,63.481048583984375,97.90914916992188,0.0003,9.877553939819336,9.888319969177246
400,32.32028579711914,32.26012420654297,59.583404541015625,90.82147979736328,0.0004,9.849538803100586,9.867731094360352
500,28.71982192993164,28.641176223754883,61.804080963134766,95.48574829101562,0.0005,9.82498550415039,9.845184326171875
600,21.411203384399414,21.314300537109375,62.785255432128906,98.71939849853516,0.0006,9.801002502441406,9.828615188598633
700,32.78394317626953,32.67123794555664,62.12726593017578,98.8807373046875,0.0007000000000000001,9.783991813659668,9.814984321594238
800,20.03571319580078,19.90889549255371,61.452816009521484,97.06945037841797,0.0008,9.763102531433105,9.804119110107422
900,29.880144119262695,29.74141502380371,61.10060501098633,93.04350280761719,0.0009,9.73762035369873,9.783982276916504
1000,16.426593780517578,16.26706314086914,65.4916000366211,94.03904724121094,0.001,9.71831226348877,9.769618034362793
1100,19.793743133544922,19.623701095581055,61.012638092041016,93.5702133178711,0.0011,9.703420639038086,9.761270523071289
1200,17.570613861083984,17.378341674804688,63.522003173828125,96.70489501953125,0.0012,9.683479309082031,9.745200157165527
1300,24.176132202148438,23.972423553466797,62.56056594848633,94.13763427734375,0.0013000000000000002,9.662827491760254,9.724616050720215
1400,11.818574905395508,11.610389709472656,60.56575393676758,88.13794708251953,0.0014000000000000002,9.645277976989746,9.708564758300781
1500,11.423608779907227,11.197895050048828,58.88018798828125,91.59526062011719,0.0015,9.624469757080078,9.694676399230957
1600,22.472562789916992,22.222951889038086,60.73773956298828,95.26891326904297,0.0016,9.60317325592041,9.679365158081055
1700,25.165353775024414,24.914438247680664,57.84532165527344,89.75154113769531,0.0017000000000000001,9.588051795959473,9.666647911071777
1800,21.145484924316406,20.896841049194336,55.51378631591797,82.62226867675781,0.0018,9.56629467010498,9.648048400878906
1900,22.279664993286133,22.00885009765625,56.3364372253418,86.19761657714844,0.0019,9.544442176818848,9.63196086883545
2000,17.53351402282715,17.25172996520996,54.015830993652344,86.87565612792969,0.002,9.530510902404785,9.621105194091797
2100,18.43686866760254,18.1457462310791,54.34318542480469,84.28631591796875,0.0021,9.514604568481445,9.609370231628418
2200,16.289783477783203,16.00642967224121,51.483821868896484,77.31353759765625,0.0022,9.495572090148926,9.597355842590332
2300,18.341352462768555,18.042709350585938,51.98395919799805,77.86030578613281,0.0023,9.479750633239746,9.586606979370117
2400,12.486379623413086,12.154953956604004,52.381141662597656,85.712890625,0.0024,9.467426300048828,9.578802108764648
2500,27.3714542388916,27.039833068847656,50.094871520996094,82.55357360839844,0.0025,9.454364776611328,9.564881324768066
2600,13.326970100402832,13.003517150878906,48.1608772277832,76.24397277832031,0.0026000000000000003,9.435030937194824,9.552276611328125
2700,17.901222229003906,17.55791473388672,47.62030029296875,79.5308837890625,0.0027,9.419504165649414,9.540634155273438
2800,17.69285774230957,17.36597442626953,46.27088928222656,70.47294616699219,0.0028000000000000004,9.405311584472656,9.529955863952637
2900,9.033370018005371,8.675521850585938,45.39311981201172,78.00282287597656,0.0029,9.391091346740723,9.51661491394043
3000,15.96135425567627,15.615655899047852,43.411319732666016,71.8214340209961,0.003,9.377613067626953,9.5082426071167
3100,19.338558197021484,18.9608154296875,43.05316162109375,78.79963684082031,0.0031,9.367003440856934,9.50223445892334
3200,15.371735572814941,14.979045867919922,42.640602111816406,80.07500457763672,0.0032,9.353726387023926,9.491609573364258
3300,17.327896118164062,16.962858200073242,40.67261505126953,69.9446792602539,0.0033000000000000004,9.340001106262207,9.47912311553955
3400,12.642066955566406,12.27501106262207,40.283668518066406,67.67378234863281,0.0034000000000000002,9.327139854431152,9.466726303100586
3500,14.59322452545166,14.201986312866211,40.08604431152344,71.69639587402344,0.0034999999999999996,9.311233520507812,9.453120231628418
3600,19.112266540527344,18.69182777404785,39.609596252441406,77.1787109375,0.0036,9.299139022827148,9.44134521484375
3700,15.450814247131348,15.042677879333496,36.07951736450195,74.22753143310547,0.0037,9.284239768981934,9.427855491638184
3800,15.20683479309082,14.840559005737305,37.033241271972656,59.35528564453125,0.0038,9.271900177001953,9.420638084411621
3900,15.519654273986816,15.112055778503418,36.160438537597656,68.35212707519531,0.0039000000000000003,9.258540153503418,9.409972190856934
4000,10.081687927246094,9.706208229064941,32.37135314941406,61.498756408691406,0.004,9.245854377746582,9.398799896240234
4100,10.228748321533203,9.832342147827148,31.566679000854492,65.11785888671875,0.0040999999999999995,9.230436325073242,9.385890007019043
4200,15.428962707519531,15.061437606811523,31.075740814208984,56.43031311035156,0.0042,9.22082805633545,9.378351211547852
4300,12.93661880493164,12.59514045715332,27.41944122314453,51.994178771972656,0.0043,9.205324172973633,9.369027137756348
4400,19.285860061645508,18.91771697998047,29.806739807128906,53.86241149902344,0.0044,9.193610191345215,9.358158111572266
4500,13.484562873840332,13.08409595489502,29.064191818237305,59.928489685058594,0.0045000000000000005,9.180356979370117,9.34919261932373
4600,6.331408977508545,5.930124759674072,29.133697509765625,58.1019401550293,0.0046,9.166590690612793,9.339921951293945
4700,18.1833553314209,17.80466079711914,26.60133934020996,53.972049713134766,0.0047,9.157203674316406,9.329753875732422
4800,14.561333656311035,14.166303634643555,25.540782928466797,56.75712966918945,0.0048,9.141912460327148,9.317730903625488
4900,15.681971549987793,15.289474487304688,25.81572914123535,54.28562927246094,0.0049,9.130602836608887,9.307250022888184
5000,9.376428604125977,8.998069763183594,23.58147621154785,52.090354919433594,0.005,9.121520042419434,9.300114631652832
5100,9.55837631225586,9.172690391540527,23.669029235839844,51.95562744140625,0.0051,9.109907150268555,9.292398452758789
5200,11.913835525512695,11.517446517944336,24.020626068115234,52.20804977416992,0.005200000000000001,9.096481323242188,9.282087326049805
5300,11.121648788452148,10.717774391174316,25.004487991333008,51.198184967041016,0.0053,9.083416938781738,9.27258586883545
5400,19.992849349975586,19.604904174804688,23.681594848632812,48.16032409667969,0.0054,9.066189765930176,9.257146835327148
5500,10.344917297363281,9.92392635345459,22.526473999023438,54.01731491088867,0.0055000000000000005,9.055350303649902,9.248220443725586
5600,5.672913551330566,5.263978481292725,23.401813507080078,49.622314453125,0.005600000000000001,9.042338371276855,9.235027313232422
5700,12.361680030822754,11.951024055480957,23.228843688964844,48.81615447998047,0.005699999999999999,9.030555725097656,9.226608276367188
5800,13.218185424804688,12.807897567749023,22.66389274597168,48.0753288269043,0.0058,9.017184257507324,9.213349342346191
5900,15.947007179260254,15.526147842407227,20.50200653076172,50.830074310302734,0.0059,9.005459785461426,9.199311256408691
6000,12.94227409362793,12.55865478515625,19.81680679321289,44.1196174621582,0.006,8.991207122802734,9.188161849975586
6100,17.673503875732422,17.28944206237793,19.016403198242188,43.94464874267578,0.0061,8.980507850646973,9.178667068481445
6200,19.634675979614258,19.205188751220703,19.365135192871094,49.907142639160156,0.0062,8.97021198272705,9.171424865722656
6300,9.730085372924805,9.328962326049805,17.380258560180664,46.29014205932617,0.0063,8.9544677734375,9.15951919555664
6400,16.699329376220703,16.302579879760742,17.473228454589844,44.519081115722656,0.0064,8.942238807678223,9.146267890930176
6500,11.752157211303711,11.356855392456055,16.981325149536133,43.83446502685547,0.006500000000000001,8.932260513305664,9.134929656982422
6600,19.639753341674805,19.255340576171875,17.140153884887695,41.104305267333984,0.006600000000000001,8.915693283081055,9.121752738952637
6700,11.085914611816406,10.720608711242676,16.402076721191406,38.12117004394531,0.0067,8.90198040008545,9.11126708984375
6800,13.197994232177734,12.85504150390625,15.099449157714844,35.33473205566406,0.0068000000000000005,8.891400337219238,9.102376937866211
6900,12.864684104919434,12.482123374938965,17.009654998779297,38.43386459350586,0.0069,8.882240295410156,9.09394359588623
