step,total,ranking,flops_q,flops_d,lambda,p_q,p_d
100,71.43846893310547,71.17684173583984,94.8829345703125,166.74661254882812,0.001,9.945087432861328,9.943832397460938
200,29.990137100219727,29.609722137451172,71.7881851196289,118.41973876953125,0.002,9.908021926879883,9.912552833557129
300,37.69474792480469,37.223167419433594,62.27896499633789,94.91523742675781,0.003,9.881696701049805,9.891885757446289
400,30.73432731628418,30.151458740234375,58.99132537841797,86.72586059570312,0.004,9.853633880615234,9.871784210205078
500,33.20580291748047,32.47969055175781,57.92049026489258,87.30168914794922,0.005000000000000001,9.827776908874512,9.84817123413086
600,25.67818260192871,24.858739852905273,54.29373550415039,82.2800064086914,0.006,9.804036140441895,9.832655906677246
700,33.1810188293457,32.27041244506836,50.99968338012695,79.08665466308594,0.007000000000000001,9.78807544708252,9.817692756652832
800,20.382915496826172,19.42440414428711,45.71369171142578,74.10023498535156,0.008,9.767029762268066,9.80634593963623
900,30.694259643554688,29.696155548095703,42.27070617675781,68.62977600097656,0.009,9.742137908935547,9.786517143249512
1000,17.336400985717773,16.298337936401367,38.033447265625,65.77290344238281,0.010000000000000002,9.721159934997559,9.769908905029297
1100,20.485708236694336,19.48256492614746,31.60387420654297,59.5909538269043,0.011000000000000001,9.703520774841309,9.755599975585938
1200,15.668301582336426,14.708564758300781,24.9928035736084,54.985252380371094,0.012,9.682266235351562,9.736985206604004
1300,27.769906997680664,26.825454711914062,22.929290771484375,49.720924377441406,0.013000000000000001,9.660085678100586,9.715450286865234
1400,16.835800170898438,15.869873046875,22.38266372680664,46.61219024658203,0.014000000000000002,9.640620231628418,9.69575309753418
1500,16.017568588256836,15.178317070007324,16.54290008544922,39.40727996826172,0.015,9.621458053588867,9.681764602661133
1600,17.251453399658203,16.39006996154785,14.392035484313965,39.44440460205078,0.016,9.598748207092285,9.66373062133789
1700,32.8154296875,31.922897338867188,16.262332916259766,36.23954772949219,0.017,9.58651351928711,9.651476860046387
1800,22.392364501953125,21.61937713623047,12.137349128723145,30.806434631347656,0.018,9.567904472351074,9.635088920593262
1900,23.45130729675293,22.519309997558594,14.707283020019531,34.34522247314453,0.019000000000000003,9.552165985107422,9.623481750488281
2000,21.088064193725586,20.234630584716797,11.641578674316406,31.030107498168945,0.020000000000000004,9.535544395446777,9.608745574951172
2100,17.02170753479004,16.17347526550293,11.218866348266602,29.17321014404297,0.021,9.52087116241455,9.598775863647461
2200,19.850252151489258,19.053752899169922,10.802894592285156,25.401676177978516,0.022000000000000002,9.504005432128906,9.584308624267578
2300,22.725933074951172,21.983367919921875,8.736590385437012,23.54890251159668,0.023000000000000003,9.492774963378906,9.573551177978516
2400,18.646718978881836,17.848007202148438,7.964636325836182,25.315034866333008,0.024,9.479639053344727,9.562823295593262
2500,32.00735092163086,31.216161727905273,7.30882453918457,24.338817596435547,0.025,9.470398902893066,9.551916122436523
2600,14.949110984802246,14.145475387573242,7.074521064758301,23.83454132080078,0.026000000000000002,9.450946807861328,9.535361289978027
2700,18.955421447753906,18.21530532836914,6.684395790100098,20.727291107177734,0.027000000000000003,9.43548583984375,9.521539688110352
2800,17.88865852355957,17.205326080322266,6.146040916442871,18.258724212646484,0.028000000000000004,9.421442985534668,9.509288787841797
2900,11.864663124084473,11.106752395629883,5.118246078491211,21.0166015625,0.028999999999999998,9.409865379333496,9.498924255371094
3000,20.240089416503906,19.51751708984375,5.498768329620361,18.586971282958984,0.03,9.398091316223145,9.490355491638184
3100,26.08584976196289,25.23098373413086,4.982499599456787,22.59385108947754,0.031,9.390843391418457,9.48416519165039
3200,25.48765754699707,24.611377716064453,4.962885856628418,22.420883178710938,0.032,9.376644134521484,9.47010612487793
3300,10.425992965698242,9.642927169799805,4.948573112487793,18.780681610107422,0.033,9.36389446258545,9.456682205200195
3400,20.12334442138672,19.422182083129883,4.8180131912231445,15.804430961608887,0.034,9.353354454040527,9.445003509521484
3500,11.195816040039062,10.511665344238281,4.070466041564941,15.476683616638184,0.034999999999999996,9.339369773864746,9.430970191955566
3600,22.58030891418457,21.653789520263672,5.523068428039551,20.213592529296875,0.036,9.32886791229248,9.418023109436035
3700,16.008426666259766,15.214925765991211,4.14786434173584,17.298114776611328,0.037,9.314756393432617,9.404586791992188
3800,14.076375961303711,13.354975700378418,4.453736305236816,14.530487060546875,0.038000000000000006,9.298981666564941,9.389327049255371
3900,12.569846153259277,11.688653945922852,5.101602554321289,17.493087768554688,0.03900000000000001,9.288237571716309,9.379236221313477
4000,11.414743423461914,10.659912109375,4.004068374633789,14.86669921875,0.04000000000000001,9.276347160339355,9.368359565734863
4100,10.303460121154785,9.578216552734375,3.839721441268921,13.84913158416748,0.041,9.261815071105957,9.354784965515137
4200,14.823077201843262,14.010648727416992,4.812993049621582,14.53055191040039,0.042,9.253628730773926,9.345922470092773
4300,13.723626136779785,12.995633125305176,3.7985661029815674,13.131505966186523,0.043000000000000003,9.241329193115234,9.335729598999023
4400,15.566776275634766,14.855202674865723,4.26372766494751,11.90841007232666,0.044000000000000004,9.231074333190918,9.322153091430664
4500,11.71393871307373,10.893067359924316,3.9100685119628906,14.331528663635254,0.045000000000000005,9.216872215270996,9.309423446655273
4600,7.946103572845459,7.1287736892700195,3.9291861057281494,13.838852882385254,0.046000000000000006,9.205702781677246,9.301905632019043
4700,11.69545841217041,10.944717407226562,3.136152744293213,12.837072372436523,0.047,9.19949722290039,9.293022155761719
4800,14.408002853393555,13.548014640808105,3.465108633041382,14.451302528381348,0.048,9.186965942382812,9.28186321258545
4900,20.893177032470703,20.140727996826172,3.3972344398498535,11.958882331848145,0.049,9.175664901733398,9.269375801086426
5000,11.658002853393555,10.87149429321289,3.4528884887695312,12.277281761169434,0.05,9.166282653808594,9.25922679901123
5100,9.231904983520508,8.301233291625977,3.480952501296997,14.767515182495117,0.051000000000000004,9.152251243591309,9.245341300964355
5200,15.205156326293945,14.472806930541992,3.0308761596679688,11.052781105041504,0.052000000000000005,9.141822814941406,9.233704566955566
5300,15.86737060546875,15.031506538391113,3.8835608959198,11.887466430664062,0.053000000000000005,9.132665634155273,9.225896835327148
5400,16.54501724243164,15.798711776733398,3.2284374237060547,10.592035293579102,0.054000000000000006,9.120594024658203,9.213239669799805
5500,10.67792797088623,9.77659797668457,3.911162853240967,12.476661682128906,0.05500000000000001,9.112605094909668,9.206546783447266
5600,12.140053749084473,11.21365737915039,4.228200912475586,12.31459903717041,0.05600000000000001,9.100522994995117,9.193999290466309
5700,17.371767044067383,16.40594482421875,4.533748626708984,12.410512924194336,0.056999999999999995,9.091482162475586,9.185211181640625
5800,7.292810440063477,6.3306565284729,4.11767578125,12.471181869506836,0.057999999999999996,9.083208084106445,9.1734037399292
5900,13.364157676696777,12.483994483947754,3.1971607208251953,11.720869064331055,0.059,9.073712348937988,9.162833213806152
6000,11.557196617126465,10.691995620727539,3.3941445350646973,11.025867462158203,0.06,9.06379508972168,9.15234088897705
6100,15.75516414642334,14.83187484741211,3.4316678047180176,11.704219818115234,0.061,9.056323051452637,9.143986701965332
6200,20.296457290649414,19.24213409423828,3.8389854431152344,13.16622543334961,0.062,9.046608924865723,9.133769989013672
6300,7.255008697509766,6.33453893661499,3.582853317260742,11.027771949768066,0.063,9.035919189453125,9.123818397521973
6400,18.00347137451172,17.17636489868164,3.1701416969299316,9.753418922424316,0.064,9.028722763061523,9.11312198638916
6500,14.374715805053711,13.409337997436523,3.002962350845337,11.84900951385498,0.065,9.019288063049316,9.102578163146973
6600,15.148611068725586,14.302072525024414,2.8276281356811523,9.99871826171875,0.066,9.008610725402832,9.088278770446777
6700,9.392202377319336,8.48047924041748,3.651144027709961,9.956663131713867,0.067,8.995779037475586,9.07736873626709
6800,18.315670013427734,17.52334976196289,2.705021381378174,8.946758270263672,0.068,8.988205909729004,9.067607879638672
6900,13.610761642456055,12.578927993774414,3.4258005619049072,11.52830696105957,0.06899999999999999,8.981907844543457,9.059442520141602
7000,9.468358993530273,8.579456329345703,3.3794896602630615,9.319120407104492,0.06999999999999999,8.974433898925781,9.052520751953125
7100,23.26018524169922,22.30773162841797,3.527738332748413,9.887113571166992,0.071,8.965311050415039,9.042352676391602
7200,12.411446571350098,11.573980331420898,2.9030423164367676,8.72844123840332,0.072,8.954504013061523,9.033370971679688
7300,16.196453094482422,15.300874710083008,3.3515138626098633,8.916696548461914,0.073,8.944173812866211,9.021888732910156
7400,7.236090183258057,6.274745464324951,2.887362003326416,10.103778839111328,0.074,8.935131072998047,9.01171875
7500,9.13945484161377,8.296672821044922,2.546761989593506,8.690328598022461,0.07500000000000001,8.926281929016113,8.997570037841797
7600,8.43871021270752,7.492009162902832,2.832944869995117,9.623652458190918,0.07600000000000001,8.917379379272461,8.988183975219727
7700,14.081737518310547,13.101795196533203,2.7272610664367676,9.999258995056152,0.07700000000000001,8.907103538513184,8.975833892822266
7800,13.259597778320312,12.079036712646484,3.7471868991851807,11.388211250305176,0.07800000000000001,8.89709758758545,8.964592933654785
7900,13.346719741821289,12.566819190979004,2.8336918354034424,7.038469314575195,0.07900000000000001,8.89199447631836,8.95614242553711
8000,12.483104705810547,11.528196334838867,2.7016172409057617,9.234732627868652,0.08000000000000002,8.884474754333496,8.946474075317383
8100,12.759371757507324,11.827033996582031,2.9504897594451904,8.559856414794922,0.08100000000000002,8.875689506530762,8.936695098876953
8200,14.028624534606934,12.945024490356445,3.1502761840820312,10.064359664916992,0.082,8.866731643676758,8.928674697875977
8300,21.244653701782227,20.132213592529297,3.078800916671753,10.324085235595703,0.083,8.862737655639648,8.922182083129883
8400,7.619117259979248,6.667564392089844,2.8785836696624756,8.449422836303711,0.084,8.849923133850098,8.909345626831055
8500,8.605562210083008,7.748506546020508,2.595305919647217,7.487699031829834,0.085,8.84225845336914,8.897940635681152
8600,12.04184627532959,11.153820991516113,3.047550678253174,7.278321743011475,0.08600000000000001,8.834059715270996,8.891140937805176
8700,11.550971984863281,10.516218185424805,2.8177707195281982,9.075950622558594,0.08700000000000001,8.821792602539062,8.875812530517578
8800,9.675642013549805,8.58322525024414,2.828738212585449,9.585090637207031,0.08800000000000001,8.816998481750488,8.869671821594238
8900,7.456084728240967,6.349827289581299,2.7482542991638184,9.68160629272461,0.08900000000000001,8.80812931060791,8.86031723022461
9000,13.955337524414062,12.78341007232666,3.1389389038085938,9.88248348236084,0.09000000000000001,8.799081802368164,8.848916053771973
9100,7.782370090484619,6.740950584411621,3.469330310821533,7.974839687347412,0.09100000000000001,8.791675567626953,8.837197303771973
9200,16.990745544433594,15.926004409790039,2.9842920303344727,8.588985443115234,0.09200000000000001,8.783729553222656,8.830157279968262
9300,13.092223167419434,11.958413124084473,3.281430721282959,8.910072326660156,0.09300000000000001,8.778851509094238,8.819862365722656
9400,15.41110610961914,14.316324234008789,2.84724497795105,8.799367904663086,0.094,8.771190643310547,8.811497688293457
9500,10.18098258972168,9.06574821472168,2.803732395172119,8.935579299926758,0.095,8.760963439941406,8.799125671386719
9600,37.42875671386719,36.306365966796875,2.7829697132110596,8.908575057983398,0.096,8.75584602355957,8.787652969360352
9700,17.957347869873047,16.678035736083984,2.9167394638061523,10.272026062011719,0.097,8.748618125915527,8.778738975524902
9800,19.525760650634766,18.634109497070312,2.362072706222534,6.736400604248047,0.098,8.738616943359375,8.765685081481934
9900,9.956146240234375,8.854583740234375,3.463012456893921,7.663880348205566,0.099,8.733979225158691,8.758037567138672
10000,12.333647727966309,11.102445602416992,3.150919198989868,9.161099433898926,0.1,8.72843074798584,8.750000953674316
10100,8.45505142211914,7.244377136230469,2.994990348815918,9.111747741699219,0.1,8.724638938903809,8.74332332611084
10200,11.679306030273438,10.687345504760742,2.5412614345550537,7.378339767456055,0.1,8.71223258972168,8.732309341430664
10300,14.979838371276855,13.760345458984375,2.692676067352295,9.502249717712402,0.1,8.70640754699707,8.724651336669922
10400,9.977705001831055,8.959449768066406,2.886186122894287,7.296357154846191,0.1,8.69631576538086,8.712896347045898
10500,9.512746810913086,8.519379615783691,2.9694418907165527,6.964229583740234,0.1,8.690816879272461,8.70626449584961
10600,9.059663772583008,8.06070327758789,2.663973331451416,7.325627326965332,0.1,8.68425464630127,8.696514129638672
10700,11.422989845275879,10.473650932312012,2.518744468688965,6.974647521972656,0.1,8.674694061279297,8.685765266418457
10800,12.838851928710938,11.855157852172852,3.2451748847961426,6.5917649269104,0.1,8.671028137207031,8.678840637207031
10900,14.588277816772461,13.556495666503906,2.917076587677002,7.400742530822754,0.1,8.665395736694336,8.671186447143555
11000,16.271751403808594,15.242505073547363,2.6282010078430176,7.664255142211914,0.1,8.659937858581543,8.662156105041504
11100,12.078910827636719,11.04544734954834,2.733691692352295,7.600943565368652,0.1,8.652257919311523,8.65323543548584
11200,12.077239036560059,10.886744499206543,2.969543933868408,8.935406684875488,0.1,8.64733600616455,8.646510124206543
11300,11.154651641845703,10.159222602844238,2.529460906982422,7.424831390380859,0.1,8.636689186096191,8.635018348693848
11400,14.055505752563477,13.097990036010742,2.4249868392944336,7.150169372558594,0.1,8.629986763000488,8.627228736877441
11500,8.75915241241455,7.745228290557861,2.697814702987671,7.4414262771606445,0.1,8.623848915100098,8.621646881103516
11600,12.369504928588867,11.345978736877441,2.6158790588378906,7.619377613067627,0.1,8.612754821777344,8.609098434448242
11700,12.548059463500977,11.443084716796875,2.8196864128112793,8.230061531066895,0.1,8.609461784362793,8.60236930847168
11800,11.841029167175293,10.745064735412598,2.9227304458618164,8.036907196044922,0.1,8.60372543334961,8.592923164367676
11900,12.248576164245605,11.15041732788086,3.0471739768981934,7.934419631958008,0.1,8.590119361877441,8.579374313354492
12000,10.85797119140625,9.795750617980957,3.0742063522338867,7.547999382019043,0.1,8.584846496582031,8.572136878967285
12100,13.333529472351074,12.41291618347168,2.404512405395508,6.801621437072754,0.1,8.581109046936035,8.565164566040039
12200,11.09313678741455,9.905322074890137,3.0094823837280273,8.868667602539062,0.1,8.572542190551758,8.557353973388672
12300,16.76885223388672,15.847524642944336,2.697599172592163,6.515680313110352,0.1,8.564077377319336,8.544966697692871
12400,9.538654327392578,8.577442169189453,2.4902091026306152,7.121912479400635,0.1,8.559022903442383,8.537405014038086
12500,11.402487754821777,10.402859687805176,3.0116705894470215,6.984601974487305,0.1,8.549686431884766,8.53061580657959
12600,10.083911895751953,8.96985149383545,2.7445907592773438,8.396013259887695,0.1,8.544751167297363,8.525834083557129
12700,12.860251426696777,11.637886047363281,3.69580078125,8.527854919433594,0.1,8.536994934082031,8.518528938293457
12800,9.473791122436523,8.462778091430664,2.8821191787719727,7.2280168533325195,0.1,8.534667015075684,8.51188850402832
12900,12.90157699584961,11.895076751708984,2.7676517963409424,7.297356605529785,0.1,8.52478313446045,8.498416900634766
13000,19.779544830322266,18.827037811279297,2.6593387126922607,6.865726470947266,0.1,8.520892143249512,8.494278907775879
13100,12.45044231414795,11.420040130615234,2.6377556324005127,7.666265964508057,0.1,8.510488510131836,8.484386444091797
13200,15.404147148132324,14.375710487365723,3.1415934562683105,7.1427764892578125,0.1,8.503193855285645,8.474056243896484
13300,10.143467903137207,9.23443603515625,2.776822566986084,6.313498020172119,0.1,8.49199104309082,8.465856552124023
13400,9.329217910766602,8.285735130310059,2.9339404106140137,7.500886917114258,0.1,8.486957550048828,8.460718154907227
13500,9.168623924255371,8.225088119506836,2.6316721439361572,6.803683280944824,0.1,8.481011390686035,8.4512357711792
13600,7.43550443649292,6.439670562744141,2.6775615215301514,7.2807793617248535,0.1,8.473528861999512,8.440315246582031
13700,8.615411758422852,7.835989475250244,2.3910140991210938,5.403213977813721,0.1,8.466415405273438,8.430938720703125
13800,9.776205062866211,8.830232620239258,2.8693900108337402,6.590332984924316,0.1,8.457891464233398,8.421704292297363
13900,13.169535636901855,12.079437255859375,2.840801954269409,8.060182571411133,0.1,8.456707954406738,8.41875171661377
14000,7.531155586242676,6.686721324920654,2.3115487098693848,6.132791042327881,0.1,8.449092864990234,8.407621383666992
14100,10.419855117797852,9.464990615844727,2.6523866653442383,6.896252632141113,0.1,8.442492485046387,8.402061462402344
14200,7.325854301452637,6.462950229644775,2.3885762691497803,6.240464210510254,0.1,8.43183422088623,8.391984939575195
14300,15.409507751464844,14.50153923034668,2.5956034660339355,6.484078407287598,0.1,8.42287540435791,8.378900527954102
14400,12.994675636291504,12.053607940673828,2.575216770172119,6.8354597091674805,0.1,8.417187690734863,8.370930671691895
14500,16.964519500732422,15.897665977478027,2.469902992248535,8.198619842529297,0.1,8.410523414611816,8.363046646118164
14600,9.146936416625977,8.310554504394531,2.3088526725769043,6.054965972900391,0.1,8.403024673461914,8.35344409942627
14700,8.655404090881348,7.628002166748047,2.8492414951324463,7.424780368804932,0.1,8.396721839904785,8.347601890563965
14800,12.982627868652344,12.02069091796875,2.3810644149780273,7.238299369812012,0.1,8.390350341796875,8.341453552246094
14900,10.46463680267334,9.578817367553711,2.5430703163146973,6.31512451171875,0.1,8.38303279876709,8.333125114440918
15000,10.94393539428711,9.873003005981445,2.763298749923706,7.946023941040039,0.1,8.379498481750488,8.326464653015137
15100,16.64412498474121,15.561821937561035,2.819228172302246,8.003814697265625,0.1,8.368402481079102,8.314268112182617
15200,9.14231014251709,8.19267463684082,2.582838535308838,6.913520812988281,0.1,8.359390258789062,8.30144214630127
15300,12.105032920837402,11.177520751953125,2.6570022106170654,6.618121147155762,0.1,8.352293014526367,8.294699668884277
15400,12.862855911254883,11.766796112060547,3.1809656620025635,7.77963924407959,0.1,8.34732723236084,8.290483474731445
15500,6.663792133331299,5.638819694519043,2.922673225402832,7.327051162719727,0.1,8.339015007019043,8.277911186218262
